Kód,Territory unit,Total,with no religious belief (abs.),with no religious belief (%),Roman Catholic Church in the Slovak Republic (Roman Catholic) (abs.),Roman Catholic Church in the Slovak Republic (Roman Catholic) (%),Evangelical Church of the Augsburg Confession in Slovakia (abs.),Evangelical Church of the Augsburg Confession in Slovakia (%),Greek Catholic Church in Slovakia (Greek Catholic) (abs.),Greek Catholic Church in Slovakia (Greek Catholic) (%),Reformed Christian Church in Slovakia (Calvinist) (abs.),Reformed Christian Church in Slovakia (Calvinist) (%),Orthodox Church in Slovakia (Orthodox) (abs.),Orthodox Church in Slovakia (Orthodox) (%),Religious Society of Jehova’s Witnesses in the Slovak Republic (abs.),Religious Society of Jehova’s Witnesses in the Slovak Republic (%),Evangelical Methodist Church, Slovak area (abs.),Evangelical Methodist Church, Slovak area (%),Christian Congregations in Slovakia (abs.),Christian Congregations in Slovakia (%),Apostolic Church in Slovakia (abs.),Apostolic Church in Slovakia (%),Unity of Brethren Baptists in the Slovak Republic (Baptist) (abs.),Unity of Brethren Baptists in the Slovak Republic (Baptist) (%),Church of the Brethren in the Slovak Republic (abs.),Church of the Brethren in the Slovak Republic (%),Seventh-day Adventist Church, Slovak Association (abs.),Seventh-day Adventist Church, Slovak Association (%),Jewish community in Slovakia (Jewish) (abs.),Jewish community in Slovakia (Jewish) (%),Czechoslovak Hussite Church in Slovakia (abs.),Czechoslovak Hussite Church in Slovakia (%),Old Catholic Church in Slovakia (Old Catholic) (abs.),Old Catholic Church in Slovakia (Old Catholic) (%),Bahá'i Community in the Slovak Republic (abs.),Bahá'i Community in the Slovak Republic (%),Church of Jesus Christ of Latter-day Saints in the Slovak Republic (abs.),Church of Jesus Christ of Latter-day Saints in the Slovak Republic (%),New Apostolic Church in the Slovak Republic (abs.),New Apostolic Church in the Slovak Republic (%),Buddhism (abs.),Buddhism (%),Islam (abs.),Islam (%),Hinduism (abs.),Hinduism (%),other and not ascertained christian church (abs.),other and not ascertained christian church (%),paganism and natural spirituality (abs.),paganism and natural spirituality (%),ad hoc movements (abs.),ad hoc movements (%),other (abs.),other (%),not found out (abs.),not found out (%)
SK0213,District of Hlohovec,44015,9591,21.79,29285,66.53,1404,3.19,207,0.47,43,0.1,70,0.16,60,0.14,12,0.03,181,0.41,36,0.08,4,0.01,3,0.01,9,0.02,3,0.01,5,0.01,14,0.03,1,0,1,0,1,0,57,0.13,29,0.07,4,0.01,69,0.16,47,0.11,176,0.4,125,0.28,2578,5.86
SK0214,District of Piešťany,63032,15625,24.79,38830,61.6,2505,3.97,264,0.42,56,0.09,167,0.26,286,0.45,27,0.04,150,0.24,36,0.06,3,0,9,0.01,17,0.03,37,0.06,15,0.02,11,0.02,1,0,7,0.01,1,0,132,0.21,89,0.14,13,0.02,75,0.12,63,0.1,272,0.43,238,0.38,4103,6.51
SK0215,District of Senica,59749,16280,27.25,33998,56.9,5417,9.07,314,0.53,77,0.13,92,0.15,83,0.14,47,0.08,217,0.36,52,0.09,14,0.02,5,0.01,10,0.02,10,0.02,6,0.01,20,0.03,0,0,6,0.01,1,0,60,0.1,27,0.05,8,0.01,62,0.1,46,0.08,165,0.28,144,0.24,2588,4.33
SK0216,District of Skalica,47525,13629,28.68,27425,57.71,1705,3.59,214,0.45,42,0.09,153,0.32,62,0.13,26,0.05,153,0.32,18,0.04,8,0.02,0,0,17,0.04,6,0.01,8,0.02,5,0.01,0,0,8,0.02,3,0.01,53,0.11,14,0.03,10,0.02,58,0.12,32,0.07,167,0.35,99,0.21,3610,7.6
SK0217,District of Trnava,131894,33016,25.03,84322,63.93,2193,1.66,743,0.56,159,0.12,344,0.26,127,0.1,72,0.05,425,0.32,41,0.03,16,0.01,88,0.07,69,0.05,40,0.03,15,0.01,42,0.03,18,0.01,5,0,1,0,196,0.15,115,0.09,36,0.03,248,0.19,141,0.11,478,0.36,493,0.37,8451,6.41
SK0221,District of Bánovce nad Bebravou,35967,6627,18.43,22610,62.86,4230,11.76,176,0.49,16,0.04,50,0.14,20,0.06,14,0.04,73,0.2,55,0.15,8,0.02,1,0,45,0.13,2,0.01,1,0,10,0.03,1,0,2,0.01,0,0,29,0.08,19,0.05,6,0.02,53,0.15,22,0.06,100,0.28,75,0.21,1722,4.79
SK0222,District of Ilava,58058,13802,23.77,38063,65.56,961,1.66,234,0.4,60,0.1,56,0.1,76,0.13,12,0.02,192,0.33,115,0.2,5,0.01,5,0.01,12,0.02,8,0.01,10,0.02,6,0.01,1,0,7,0.01,2,0,63,0.11,38,0.07,6,0.01,103,0.18,59,0.1,202,0.35,189,0.33,3771,6.5
SK0223,District of Myjava,25678,9137,35.58,3021,11.76,11344,44.18,86,0.33,9,0.04,71,0.28,181,0.7,41,0.16,14,0.05,16,0.06,11,0.04,13,0.05,24,0.09,6,0.02,4,0.02,8,0.03,4,0.02,2,0.01,0,0,47,0.18,18,0.07,7,0.03,31,0.12,21,0.08,97,0.38,82,0.32,1383,5.39
SK0224,District of Nové Mesto nad Váhom,61840,18024,29.15,28435,45.98,10234,16.55,291,0.47,43,0.07,84,0.14,126,0.2,64,0.1,133,0.22,169,0.27,5,0.01,65,0.11,51,0.08,7,0.01,5,0.01,19,0.03,2,0,2,0,2,0,84,0.14,36,0.06,12,0.02,87,0.14,52,0.08,243,0.39,175,0.28,3390,5.48
SK0225,District of Partizánske,44515,10052,22.58,30206,67.86,626,1.41,264,0.59,77,0.17,44,0.1,23,0.05,16,0.04,170,0.38,30,0.07,2,0,4,0.01,16,0.04,9,0.02,3,0.01,6,0.01,0,0,3,0.01,0,0,69,0.16,24,0.05,13,0.03,112,0.25,35,0.08,153,0.34,100,0.22,2458,5.52
SK0226,District of Považská Bystrica,61617,11370,18.45,44344,71.97,1088,1.77,284,0.46,51,0.08,71,0.12,45,0.07,5,0.01,175,0.28,22,0.04,0,0,4,0.01,44,0.07,8,0.01,3,0,8,0.01,1,0,2,0,0,0,69,0.11,22,0.04,14,0.02,117,0.19,56,0.09,220,0.36,251,0.41,3343,5.43
SK0227,District of Prievidza,131693,47594,36.14,69398,52.7,1608,1.22,709,0.54,168,0.13,174,0.13,371,0.28,39,0.03,764,0.58,25,0.02,21,0.02,7,0.01,43,0.03,20,0.02,9,0.01,33,0.03,5,0,9,0.01,2,0,186,0.14,69,0.05,40,0.03,285,0.22,140,0.11,476,0.36,420,0.32,9078,6.89
SK0228,District of Púchov,44319,6612,14.92,29843,67.34,4801,10.83,215,0.49,31,0.07,59,0.13,20,0.05,15,0.03,128,0.29,20,0.05,1,0,12,0.03,29,0.07,3,0.01,2,0,15,0.03,4,0.01,1,0,0,0,41,0.09,19,0.04,11,0.02,55,0.12,43,0.1,176,0.4,105,0.24,2058,4.64
SK0229,District of Trenčín,113777,29368,25.81,69302,60.91,6386,5.61,720,0.63,84,0.07,208,0.18,105,0.09,30,0.03,294,0.26,88,0.08,8,0.01,48,0.04,84,0.07,32,0.03,17,0.01,22,0.02,12,0.01,8,0.01,1,0,190,0.17,112,0.1,17,0.01,200,0.18,90,0.08,428,0.38,351,0.31,5572,4.9
SK0231,District of Komárno,100952,28779,28.51,45203,44.78,2437,2.41,804,0.8,13241,13.12,126,0.12,377,0.37,55,0.05,309,0.31,111,0.11,452,0.45,3,0,5,0,28,0.03,8,0.01,93,0.09,2,0,4,0,0,0,87,0.09,66,0.07,13,0.01,190,0.19,27,0.03,78,0.08,156,0.15,8298,8.22
SK0232,District of Levice,110469,27157,24.58,61096,55.31,6208,5.62,728,0.66,4694,4.25,114,0.1,311,0.28,81,0.07,458,0.41,45,0.04,87,0.08,596,0.54,25,0.02,24,0.02,8,0.01,62,0.06,4,0,6,0.01,3,0,103,0.09,108,0.1,26,0.02,173,0.16,80,0.07,305,0.28,262,0.24,7705,6.97
SK0233,District of Nitra,164788,38247,23.21,106793,64.81,3446,2.09,1100,0.67,368,0.22,328,0.2,216,0.13,58,0.04,815,0.49,171,0.1,11,0.01,52,0.03,41,0.02,50,0.03,11,0.01,141,0.09,7,0,23,0.01,1,0,208,0.13,94,0.06,34,0.02,285,0.17,173,0.1,651,0.4,564,0.34,10900,6.61
SK0234,District of Nové Zámky,138168,30142,21.82,89079,64.47,1903,1.38,720,0.52,3244,2.35,144,0.1,321,0.23,57,0.04,630,0.46,159,0.12,120,0.09,14,0.01,22,0.02,55,0.04,6,0,43,0.03,8,0.01,13,0.01,1,0,182,0.13,92,0.07,21,0.02,221,0.16,57,0.04,296,0.21,279,0.2,10339,7.48
