year,district_id,district_name,category,statistic,percentage
2021,SK0425,District of Košice IV,Age Groups,pre-productive age (aged 0-14) (%),14.48
2021,SK0426,District of Košice - okolie,Age Groups,pre-productive age (aged 0-14) (%),20.19
2021,SK0427,District of Michalovce,Age Groups,pre-productive age (aged 0-14) (%),16.84
2021,SK0428,District of Rožňava,Age Groups,pre-productive age (aged 0-14) (%),16.78
2021,SK0429,District of Sobrance,Age Groups,pre-productive age (aged 0-14) (%),15.39
2021,SK042A,District of Spišská Nová Ves,Age Groups,pre-productive age (aged 0-14) (%),20.74
2021,SK042B,District of Trebišov,Age Groups,pre-productive age (aged 0-14) (%),17.6
2021,SK0101,District of Bratislava I,Age Groups,productive age (aged 15-64) (%),63.31
2021,SK0102,District of Bratislava II,Age Groups,productive age (aged 15-64) (%),65.38
2021,SK0103,District of Bratislava III,Age Groups,productive age (aged 15-64) (%),65.36
2021,SK0104,District of Bratislava IV,Age Groups,productive age (aged 15-64) (%),66.28
2021,SK0105,District of Bratislava V,Age Groups,productive age (aged 15-64) (%),65.83
2021,SK0106,District of Malacky,Age Groups,productive age (aged 15-64) (%),66.72
2021,SK0107,District of Pezinok,Age Groups,productive age (aged 15-64) (%),66.12
2021,SK0108,District of Senec,Age Groups,productive age (aged 15-64) (%),65.65
2021,SK0211,District of Dunajská Streda,Age Groups,productive age (aged 15-64) (%),68.88
2021,SK0212,District of Galanta,Age Groups,productive age (aged 15-64) (%),68.56
2021,SK0213,District of Hlohovec,Age Groups,productive age (aged 15-64) (%),67.2
2021,SK0214,District of Piešťany,Age Groups,productive age (aged 15-64) (%),65.93
2021,SK0215,District of Senica,Age Groups,productive age (aged 15-64) (%),67.75
2021,SK0216,District of Skalica,Age Groups,productive age (aged 15-64) (%),67.51
2021,SK0217,District of Trnava,Age Groups,productive age (aged 15-64) (%),66.98
2021,SK0221,District of Bánovce nad Bebravou,Age Groups,productive age (aged 15-64) (%),67.31
2021,SK0222,District of Ilava,Age Groups,productive age (aged 15-64) (%),67.61
2021,SK0223,District of Myjava,Age Groups,productive age (aged 15-64) (%),65.88
2021,SK0224,District of Nové Mesto nad Váhom,Age Groups,productive age (aged 15-64) (%),65.6
2021,SK0225,District of Partizánske,Age Groups,productive age (aged 15-64) (%),66.15
2021,SK0226,District of Považská Bystrica,Age Groups,productive age (aged 15-64) (%),68.82
2021,SK0227,District of Prievidza,Age Groups,productive age (aged 15-64) (%),67.65
2021,SK0228,District of Púchov,Age Groups,productive age (aged 15-64) (%),68.14
2021,SK0229,District of Trenčín,Age Groups,productive age (aged 15-64) (%),65.85
2021,SK0231,District of Komárno,Age Groups,productive age (aged 15-64) (%),67.87
2021,SK0232,District of Levice,Age Groups,productive age (aged 15-64) (%),67.68
2021,SK0233,District of Nitra,Age Groups,productive age (aged 15-64) (%),67.14
2021,SK0234,District of Nové Zámky,Age Groups,productive age (aged 15-64) (%),67.52
2021,SK0235,District of Šaľa,Age Groups,productive age (aged 15-64) (%),68.29
2021,SK0236,District of Topoľčany,Age Groups,productive age (aged 15-64) (%),67.92
2021,SK0237,District of Zlaté Moravce,Age Groups,productive age (aged 15-64) (%),67.17
2021,SK0311,District of Bytča,Age Groups,productive age (aged 15-64) (%),68.67
2021,SK0312,District of Čadca,Age Groups,productive age (aged 15-64) (%),70.48
2021,SK0313,District of Dolný Kubín,Age Groups,productive age (aged 15-64) (%),67.89
2021,SK0314,District of Kysucké Nové Mesto,Age Groups,productive age (aged 15-64) (%),69.12
2021,SK0315,District of Liptovský Mikuláš,Age Groups,productive age (aged 15-64) (%),66.72
2021,SK0316,District of Martin,Age Groups,productive age (aged 15-64) (%),66.96
2021,SK0317,District of Námestovo,Age Groups,productive age (aged 15-64) (%),67.97
2021,SK0318,District of Ružomberok,Age Groups,productive age (aged 15-64) (%),67.16
2021,SK0319,District of Turčianske Teplice,Age Groups,productive age (aged 15-64) (%),66.63
2021,SK031A,District of Tvrdošín,Age Groups,productive age (aged 15-64) (%),67.81
2021,SK031B,District of Žilina,Age Groups,productive age (aged 15-64) (%),67.35
2021,SK0321,District of Banská Bystrica,Age Groups,productive age (aged 15-64) (%),66.47
2021,SK0322,District of Banská Štiavnica,Age Groups,productive age (aged 15-64) (%),67.45
2021,SK0323,District of Brezno,Age Groups,productive age (aged 15-64) (%),67.02
2021,SK0324,District of Detva,Age Groups,productive age (aged 15-64) (%),67.16
2021,SK0325,District of Krupina,Age Groups,productive age (aged 15-64) (%),68.03
2021,SK0326,District of Lučenec,Age Groups,productive age (aged 15-64) (%),67.47
2021,SK0327,District of Poltár,Age Groups,productive age (aged 15-64) (%),67.17
2021,SK0328,District of Revúca,Age Groups,productive age (aged 15-64) (%),66.9
2021,SK0329,District of Rimavská Sobota,Age Groups,productive age (aged 15-64) (%),66.79
2021,SK032A,District of Veľký Krtíš,Age Groups,productive age (aged 15-64) (%),68.81
2021,SK032B,District of Zvolen,Age Groups,productive age (aged 15-64) (%),67.07
2021,SK032C,District of Žarnovica,Age Groups,productive age (aged 15-64) (%),67.08
2021,SK032D,District of Žiar nad Hronom,Age Groups,productive age (aged 15-64) (%),66.72
2021,SK0411,District of Bardejov,Age Groups,productive age (aged 15-64) (%),67.24
2021,SK0412,District of Humenné,Age Groups,productive age (aged 15-64) (%),68.69
2021,SK0413,District of Kežmarok,Age Groups,productive age (aged 15-64) (%),65.36
2021,SK0414,District of Levoča,Age Groups,productive age (aged 15-64) (%),67.83
2021,SK0415,District of Medzilaborce,Age Groups,productive age (aged 15-64) (%),66.9
2021,SK0416,District of Poprad,Age Groups,productive age (aged 15-64) (%),66.65
2021,SK0417,District of Prešov,Age Groups,productive age (aged 15-64) (%),66.42
2021,SK0418,District of Sabinov,Age Groups,productive age (aged 15-64) (%),65.2
2021,SK0419,District of Snina,Age Groups,productive age (aged 15-64) (%),69.98
2021,SK041A,District of Stará Ľubovňa,Age Groups,productive age (aged 15-64) (%),66.8
2021,SK041B,District of Stropkov,Age Groups,productive age (aged 15-64) (%),68.43
2021,SK041C,District of Svidník,Age Groups,productive age (aged 15-64) (%),68.79
2021,SK041D,District of Vranov nad Topľou,Age Groups,productive age (aged 15-64) (%),67.01
2021,SK0421,District of Gelnica,Age Groups,productive age (aged 15-64) (%),63.8
2021,SK0422,District of Košice I,Age Groups,productive age (aged 15-64) (%),68.49
2021,SK0423,District of Košice II,Age Groups,productive age (aged 15-64) (%),67.88
2021,SK0424,District of Košice III,Age Groups,productive age (aged 15-64) (%),65.22
2021,SK0425,District of Košice IV,Age Groups,productive age (aged 15-64) (%),62.76
2021,SK0426,District of Košice - okolie,Age Groups,productive age (aged 15-64) (%),66.56
2021,SK0427,District of Michalovce,Age Groups,productive age (aged 15-64) (%),67.74
2021,SK0428,District of Rožňava,Age Groups,productive age (aged 15-64) (%),66.82
2021,SK0429,District of Sobrance,Age Groups,productive age (aged 15-64) (%),68.01
2021,SK042A,District of Spišská Nová Ves,Age Groups,productive age (aged 15-64) (%),65.3
2021,SK042B,District of Trebišov,Age Groups,productive age (aged 15-64) (%),67.43
2021,SK0101,District of Bratislava I,Age Groups,post-productive age (aged 65+) (%),21.51
2021,SK0102,District of Bratislava II,Age Groups,post-productive age (aged 65+) (%),19.28
2021,SK0103,District of Bratislava III,Age Groups,post-productive age (aged 65+) (%),18.17
